ID,Event,Season,Day,Source,Type,Target
1,Nexus Games,1,,Chidori Yoshino,Death,
2,Nexus Games,1,,Junah,Kill,Shohei Yakumo
3,Nexus Games,1,,The Courier,Kill,Ringo
4,Nexus Games,1,,The Courier,Kill,Junah
5,Nexus Games,1,,Eivor Varinsdottir,Kill,The Courier
6,Nexus Games,1,,Eivor Varinsdottir,Kill,Ann Takamaki
7,Nexus Games,1,,Ann Takamaki,Kill,Beam
8,Nexus Games,1,,Toph Beifong,Kill,Eivor Varinsdottir
9,Nexus Games,1,,Toph Beifong,Death,
10,Nexus Games,1,,Arena Hazard,Kill,Xion
11,Nexus Games,1,,Arena Hazard,Kill,Marie
12,Nexus Games,1,,Wakana Gojo,Kill Assist,Beam
13,Nexus Games,1,,Wakana Gojo,Kill Assist,Eivor Varinsdottir
14,Nexus Games,1,,Marie,Kill Assist,Eivor Varinsdottir
15,Nexus Games,2,,Jinx,Death,
16,Nexus Games,2,,Strahd von Zarovich,Kill Assist,Jinx
17,Nexus Games,2,,Ichiro Dazai,Kill,Big Smoke
18,Nexus Games,2,,Ichiro Dazai,Kill,Sasha Braus
19,Nexus Games,2,,Kazuma Kiryu,Kill,Strahd von Zarovich
20,Nexus Games,2,,Sasha Braus,Kill Assist,Strahd von Zarovich
21,Nexus Games,2,,Fern,Kill Assist,Strahd von Zarovich
22,Nexus Games,2,,Anya Forger,Kill Assist,Strahd von Zarovich
23,Nexus Games,2,,Solid Snake,Kill Assist,Strahd von Zarovich
24,Nexus Games,2,,Kazuma Kiryu,Kill,Esdeath
25,Nexus Games,2,,Kazuma Kiryu,Death,
26,Nexus Games,2,,Solid Snake,Death,
27,Nexus Games,2,,Fern,Kill,Ichiro Dazai
28,Nexus Games,2,,Arena Hazard,Kill,Tohru Adachi
29,Nexus Games,2,,Arena Hazard,Kill,Alex Louis Armstrong
30,Nexus Games,3,,Mereoleona Vermillion,Kill,Tanya von Degurechaff
31,Nexus Games,3,,Yugi Mutou / Pharaoh Atem / Yami Yugi,Kill,Seryu Ubiquitous
32,Nexus Games,3,,Nanashi,Kill,Shou Tucker
33,Nexus Games,3,,Mereoleona Vermillion,Kill,Nanashi
34,Nexus Games,3,,Übel,Kill,Dandy
35,Nexus Games,3,,Sans,Death,
36,Nexus Games,3,,Übel,Kill,Takumi Fujiwara
37,Nexus Games,3,,Johan Liebert,Death,
38,Nexus Games,3,,Yugi Mutou / Pharaoh Atem / Yami Yugi,Kill Assist,Johan Liebert
39,Nexus Games,3,,Übel,Kill,Yugi Mutou / Pharaoh Atem / Yami Yugi
40,Nexus Games,3,,Erza Scarlet,Kill,Mereoleona Vermillion
41,Nexus Games,3,,Mereoleona Vermillion,Kill,Erza Scarlet
42,Nexus Games,4,,Master Chief,Kill,Kenny McCormick
43,Nexus Games,4,,Master Chief,Kill,Roy Batty
44,Nexus Games,4,,Master Chief,Kill,The Martyr
45,Nexus Games,4,,Judge Holden,Kill,Arcane Trickster Kenku (Ken-Kun)
46,Nexus Games,4,,Master Chief,Kill,Shang Tsung
47,Nexus Games,4,,Judge Holden,Kill,Kenny McCormick
48,Nexus Games,4,,Noi,Kill,Judge Holden
49,Nexus Games,4,,Yuno Gasai,Kill Assist,Judge Holden
50,Nexus Games,4,,The Landlady of Pigsty Alley,Kill Assist,Judge Holden
51,Nexus Games,4,,Maki Oze,Kill Assist,Judge Holden
52,Nexus Games,4,,Arena Hazard,Kill,Kenny McCormick
53,Nexus Games,4,,Yuno Gasai,Kill,Master Chief
54,Nexus Games,4,,Yuno Gasai,Kill,Maki Oze
55,Nexus Games,4,,Yuno Gasai,Kill,Larry David
56,Nexus Games,4,,Yuno Gasai,Kill,Noi
57,Nexus Games,4,,The Landlady of Pigsty Alley,Kill,Yuno Gasai
58,Nexus Games,5,,The Predator,Kill,Sister Ivry
59,Nexus Games,5,,Sweet Tooth,Death,
60,Nexus Games,5,,Iskandar,Kill Assist,Sweet Tooth
61,Nexus Games,5,,Arena Hazard,Kill,Kafka Hibino
62,Nexus Games,5,,Max Rockatansky,Death,
63,Nexus Games,5,,Rin Kurenai,Kill Assist,Max Rockatansky
64,Nexus Games,5,,Senator Armstrong,Kill,The Predator
65,Nexus Games,5,,Kobeni Higashiyama,Kill,Senator Armstrong
66,Nexus Games,5,,Arena Hazard,Kill,Iskandar
67,Nexus Games,5,,Rin Kurenai,Kill Assist,Iskandar
68,Nexus Games,5,,Arena Hazard,Kill,Kobeni Higashiyama
69,Nexus Games,5,,Rin Kurenai,Kill Assist,Kobeni Higashiyama
70,Nexus Games,5,,Arena Hazard,Kill,Avatar Kyoshi
71,Nexus House,1,2,Haruhi Suzumiya,HOH,
72,Nexus House,1,3,Haruhi Suzumiya,Nominate,Rias Gremory
73,Nexus House,1,3,Haruhi Suzumiya,Nominate,Eikichi Onizuka
74,Nexus House,1,4,Abaddon the Despoiler,POV,
75,Nexus House,1,5,Abaddon the Despoiler,Veto,Eikichi Onizuka
76,Nexus House,1,5,Haruhi Suzumiya,Nominate,Tatsu
77,Nexus House,1,7,Aqua,Vote,Tatsu
78,Nexus House,1,7,Eikichi Onizuka,Vote,Tatsu
79,Nexus House,1,7,Lucy Heartfilia,Vote,Rias Gremory
80,Nexus House,1,7,Bojack Horseman,Vote,Rias Gremory
81,Nexus House,1,7,Kokichi Oma,Vote,Rias Gremory
82,Nexus House,1,7,Gold Ship,Vote,Rias Gremory
83,Nexus House,1,7,Abaddon the Despoiler,Vote,Rias Gremory
