ID,Name,Source,Event,Season,Gender,Age,Placement
1,Junah,Metaphor: ReFantazio,Nexus Games,1,F,,8
2,Chidori Yoshino,Persona 3,Nexus Games,1,F,,12
3,Marie,Persona 4 Golden,Nexus Games,1,F,,3
4,Ann Takamaki,Persona 5,Nexus Games,1,F,,5
5,Ringo,Soul Hackers 2,Nexus Games,1,F,,9
6,Shohei Yakumo,Shin Megami Tensei V,Nexus Games,1,M,,11
7,Beam,Chainsaw Man,Nexus Games,1,M,,6
8,Eivor Varinsdottir,Assassin’s Creed Valhalla,Nexus Games,1,F,,4
9,The Courier,Fallout: New Vegas,Nexus Games,1,-,,7
10,Xion,Kingdom Hearts,Nexus Games,1,F,,10
11,Toph Beifong,Avatar: The Last Airbender,Nexus Games,1,F,,2
12,Wakana Gojo,My Dress-Up Darling,Nexus Games,1,M,,1
13,Alex Louis Armstrong,Fullmetal Alchemist: Brotherhood,Nexus Games,2,M,,9
14,Sasha Braus,Attack on Titan,Nexus Games,2,F,,6
15,Esdeath,Akame ga Kill,Nexus Games,2,F,,5
16,Fern,Frieren: Beyond Journey’s End,Nexus Games,2,F,,1
17,Anya Forger,Spy x Family,Nexus Games,2,F,,1
18,Kazuma Kiryu,Yakuza,Nexus Games,2,M,,5
19,Jinx,Arcane,Nexus Games,2,F,,12
20,Solid Snake,Metal Gear Solid,Nexus Games,2,M,,7
21,Ichiro Dazai,Shin Megami Tensei V,Nexus Games,2,M,,3
22,Tohru Adachi,Persona 4,Nexus Games,2,M,,11
23,Strahd von Zarovich,Ravenloft,Nexus Games,2,M,,8
24,Big Smoke,Grand Theft Auto: San Andreas,Nexus Games,2,M,,10
25,Nanashi,Shin Megami Tensei IV: Apocalypse,Nexus Games,3,M,,9
26,Tanya von Degurechaff,Youjo Senki,Nexus Games,3,F,,12
27,Übel,Frieren: Beyond Journey’s End,Nexus Games,3,F,,1
28,Johan Liebert,Monster,Nexus Games,3,M,,5
29,Seryu Ubiquitous,Akame ga Kill,Nexus Games,3,F,,11
30,Dandy,Space Dandy,Nexus Games,3,M,,8
31,Takumi Fujiwara,Initial D,Nexus Games,3,M,,6
32,Yugi Mutou / Pharaoh Atem / Yami Yugi,Yu-Gi-Oh!,Nexus Games,3,M,,4
33,Sans,Undertale,Nexus Games,3,M,,7
34,Erza Scarlet,Fairy Tail,Nexus Games,3,F,,2
35,Mereoleona Vermillion,Black Clover,Nexus Games,3,F,,2
36,Shou Tucker,Fullmetal Alchemist,Nexus Games,3,M,,10
37,Roy Batty,Blade Runner,Nexus Games,4,M,,11
38,Master Chief,Halo,Nexus Games,4,M,,6
39,Shang Tsung,Mortal Kombat,Nexus Games,4,M,,8
40,Kenny McCormick,South Park,Nexus Games,4,M,,DQ
41,Yuno Gasai,Mirai Nikki,Nexus Games,4,F,,2
42,The Martyr,Beyond Citadel,Nexus Games,4,F,,10
43,Judge Holden,Blood Meridian,Nexus Games,4,M,,7
44,Noi,Dorohedoro,Nexus Games,4,F,,3
45,Maki Oze,Fire Force,Nexus Games,4,F,,5
46,Larry David,Curb Your Enthusiasm,Nexus Games,4,M,,4
47,Arcane Trickster Kenku (Ken-Kun),Dungeons & Dragons,Nexus Games,4,M,,9
48,The Landlady of Pigsty Alley,Kung Fu Hustle,Nexus Games,4,F,,1
49,Sister Ivry,Edens Zero,Nexus Games,5,F,,10
50,Max Rockatansky,Mad Max,Nexus Games,5,M,,7
51,Iskandar,Fate/Zero,Nexus Games,5,M,,2
52,Kafka Hibino,Kaiju No. 8,Nexus Games,5,M,,8
53,Sweet Tooth,Twisted Metal,Nexus Games,5,M,,9
54,Rin Kurenai,Big Order,Nexus Games,5,F,,1
55,Avatar Kyoshi,Avatar: The Last Airbender,Nexus Games,5,F,,2
56,The Predator,Predator,Nexus Games,5,M,,6
57,Kobeni Higashiyama,Chainsaw Man,Nexus Games,5,F,,2
58,Senator Armstrong,Metal Gear Rising: Revengeance,Nexus Games,5,M,,5
59,Haruhi Suzumiya,The Melancholy of Haruhi Suzumiya,Nexus House,1,F,,5
60,Kokichi Oma,Danganronpa V3: Killing Harmony,Nexus House,1,M,,7
61,Tatsu,The Way of the Nexus Househusband,Nexus House,1,M,,6
62,Abaddon the Despoiler,Warhammer 40k,Nexus House,1,M,,8
63,Aqua,KonoSuba,Nexus House,1,F,,9
64,Eikichi Onizuka,Great Teacher Onizuka,Nexus House,1,M,,4
65,Gold Ship,Umamusume: Pretty Derby,Nexus House,1,F,,3
66,Bojack Horseman,Bojack Horseman,Nexus House,1,M,,2
67,Rias Gremory,High School DxD,Nexus House,1,F,,10
68,Lucy Heartfilia,Fairy Tail,Nexus House,1,F,,1
69,Thanquol,Warhammer Fantasy,Nexus House,2,M,,10
70,Yor Forger,Spy x Family,Nexus House,2,F,,
71,Carmen Berzatto,The Bear,Nexus House,2,M,,9
72,Power,Chainsaw Man,Nexus House,2,F,,
73,Calvin & Hobbes,Calvin & Hobbes,Nexus House,2,M,,
74,Rika Furude,Higurashi When They Cry,Nexus House,2,F,,
75,Legoshi,Beastars,Nexus House,2,M,,
76,Rorschach,Watchmen,Nexus House,2,M,,8
77,Momo Ayase,Dandadan,Nexus House,2,F,,
78,Domon Kasshu,Mobile Fighter G Gundam,Nexus House,2,M,,
